,a0,a1,a2,a3,ab0,ab1,ab2
0,"(0, 0, 19)",320.0,100000.0,317.0,0,0,19
1,"(0, 1, 19)",320.0,100000.0,317.0,0,1,19
2,"(0, 2, 19)",320.0,100000.0,317.0,0,2,19
3,"(0, 3, 19)",320.0,100000.0,317.0,0,3,19
4,"(0, 4, 19)",320.0,100000.0,317.0,0,4,19
5,"(0, 5, 19)",320.0,100000.0,317.0,0,5,19
6,"(0, 6, 19)",320.0,100000.0,317.0,0,6,19
7,"(0, 7, 19)",320.0,100000.0,317.0,0,7,19
8,"(0, 8, 19)",320.0,100000.0,317.0,0,8,19
9,"(0, 9, 19)",320.0,100000.0,317.0,0,9,19
10,"(0, 10, 19)",320.0,100000.0,317.0,0,10,19
11,"(0, 11, 19)",320.0,100000.0,317.0,0,11,19
12,"(0, 12, 19)",320.0,100000.0,317.0,0,12,19
13,"(0, 13, 19)",320.0,100000.0,317.0,0,13,19
14,"(0, 14, 19)",320.0,100000.0,317.0,0,14,19
15,"(0, 15, 19)",320.0,100000.0,317.0,0,15,19
16,"(0, 16, 19)",320.0,100000.0,317.0,0,16,19
17,"(0, 17, 19)",320.0,100000.0,317.0,0,17,19
18,"(0, 18, 19)",320.0,100000.0,317.0,0,18,19
19,"(0, 19, 19)",320.0,100000.0,317.0,0,19,19
20,"(0, 20, 19)",320.0,100000.0,317.0,0,20,19
