,0,1,2,3,4,5,6,7,8,9
0,0,0,0,50,0.0004,10,0.2,0.5,0.3,0.1
1,0,0,1,50,0.0004,10,0.2,0.5,0.3,0.1
2,0,0,2,50,0.0004,10,0.2,0.5,0.3,0.1
3,0,0,3,50,0.0004,10,0.2,0.5,0.3,0.1
4,0,0,4,50,0.0004,10,0.2,0.5,0.3,0.1
5,0,0,5,50,0.0004,10,0.2,0.5,0.3,0.1
6,0,0,6,50,0.0004,10,0.2,0.5,0.3,0.1
7,0,0,7,50,0.0004,10,0.2,0.5,0.3,0.1
8,0,0,8,50,0.0004,10,0.2,0.5,0.3,0.1
9,0,0,9,50,0.0004,10,0.2,0.5,0.3,0.1
10,0,1,0,50,0.0004,10,0.2,0.5,0.3,0.1
11,0,1,1,50,0.0004,10,0.2,0.5,0.3,0.1
12,0,1,2,50,0.0004,10,0.2,0.5,0.3,0.1
13,0,1,3,50,0.0004,10,0.2,0.5,0.3,0.1
14,0,1,4,50,0.0004,10,0.2,0.5,0.3,0.1
15,0,1,5,50,0.0004,10,0.2,0.5,0.3,0.1
16,0,1,6,50,0.0004,10,0.2,0.5,0.3,0.1
17,0,1,7,50,0.0004,10,0.2,0.5,0.3,0.1
18,0,1,8,50,0.0004,10,0.2,0.5,0.3,0.1
19,0,1,9,50,0.0004,10,0.2,0.5,0.3,0.1
20,0,2,0,50,0.0004,10,0.2,0.5,0.3,0.1
21,0,2,1,50,0.0004,10,0.2,0.5,0.3,0.1
22,0,2,2,50,0.0004,10,0.2,0.5,0.3,0.1
23,0,2,3,50,0.0004,10,0.2,0.5,0.3,0.1
24,0,2,4,50,0.0004,10,0.2,0.5,0.3,0.1
25,0,2,5,50,0.0004,10,0.2,0.5,0.3,0.1
26,0,2,6,50,0.0004,10,0.2,0.5,0.3,0.1
27,0,2,7,50,0.0004,10,0.2,0.5,0.3,0.1
28,0,2,8,50,0.0004,10,0.2,0.5,0.3,0.1
29,0,2,9,50,0.0004,10,0.2,0.5,0.3,0.1
30,0,3,0,50,0.0004,10,0.2,0.5,0.3,0.1
31,0,3,1,50,0.0004,10,0.2,0.5,0.3,0.1
32,0,3,2,50,0.0004,10,0.2,0.5,0.3,0.1
33,0,3,3,50,0.0004,10,0.2,0.5,0.3,0.1
34,0,3,4,50,0.0004,10,0.2,0.5,0.3,0.1
35,0,3,5,50,0.0004,10,0.2,0.5,0.3,0.1
36,0,3,6,50,0.0004,10,0.2,0.5,0.3,0.1
37,0,3,7,50,0.0004,10,0.2,0.5,0.3,0.1
38,0,3,8,50,0.0004,10,0.2,0.5,0.3,0.1
39,0,3,9,50,0.0004,10,0.2,0.5,0.3,0.1
40,0,4,0,50,0.0004,10,0.2,0.5,0.3,0.1
41,0,4,1,50,0.0004,10,0.2,0.5,0.3,0.1
42,0,4,2,50,0.0004,10,0.2,0.5,0.3,0.1
43,0,4,3,50,0.0004,10,0.2,0.5,0.3,0.1
44,0,4,4,50,0.0004,10,0.2,0.5,0.3,0.1
45,0,4,5,50,0.0004,10,0.2,0.5,0.3,0.1
46,0,4,6,50,0.0004,10,0.2,0.5,0.3,0.1
47,0,4,7,50,0.0004,10,0.2,0.5,0.3,0.1
48,0,4,8,50,0.0004,10,0.2,0.5,0.3,0.1
49,0,4,9,50,0.0004,10,0.2,0.5,0.3,0.1
50,0,5,0,50,0.0004,10,0.2,0.5,0.3,0.1
51,0,5,1,50,0.0004,10,0.2,0.5,0.3,0.1
