,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
0,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
1,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
2,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
3,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
4,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
5,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
6,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
7,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
8,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
9,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
10,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
11,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
12,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
13,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
14,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
15,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
16,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
17,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
18,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
19,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
20,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
21,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
22,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
23,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
24,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
25,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
26,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
27,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
28,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
29,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
30,       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000       3.00000000
