,0,1
0,"(0, 0, 0)",0.01
1,"(0, 0, 50)",-0.01
2,"(0, 1, 0)",0.01
3,"(0, 1, 50)",-0.01
4,"(0, 2, 0)",0.01
5,"(0, 2, 50)",-0.01
6,"(0, 3, 0)",0.01
7,"(0, 3, 50)",-0.01
8,"(0, 4, 0)",0.01
9,"(0, 4, 50)",-0.01
10,"(0, 5, 0)",0.01
11,"(0, 5, 50)",-0.01
12,"(0, 6, 0)",0.01
13,"(0, 6, 50)",-0.01
14,"(0, 7, 0)",0.01
15,"(0, 7, 50)",-0.01
16,"(0, 8, 0)",0.01
17,"(0, 8, 50)",-0.01
18,"(0, 9, 0)",0.01
19,"(0, 9, 50)",-0.01
20,"(0, 10, 0)",0.01
21,"(0, 10, 50)",-0.01
22,"(0, 11, 0)",0.01
23,"(0, 11, 50)",-0.01
24,"(1, 0, 0)",0.01
25,"(1, 0, 50)",-0.01
26,"(1, 1, 0)",0.01
27,"(1, 1, 50)",-0.01
28,"(1, 2, 0)",0.01
29,"(1, 2, 50)",-0.01
30,"(1, 3, 0)",0.01
31,"(1, 3, 50)",-0.01
32,"(1, 4, 0)",0.01
33,"(1, 4, 50)",-0.01
34,"(1, 5, 0)",0.01
35,"(1, 5, 50)",-0.01
36,"(1, 6, 0)",0.01
37,"(1, 6, 50)",-0.01
38,"(1, 7, 0)",0.01
39,"(1, 7, 50)",-0.01
40,"(1, 8, 0)",0.01
41,"(1, 8, 50)",-0.01
42,"(1, 9, 0)",0.01
43,"(1, 9, 50)",-0.01
44,"(1, 10, 0)",0.01
45,"(1, 10, 50)",-0.01
46,"(1, 11, 0)",0.01
47,"(1, 11, 50)",-0.01
48,"(2, 0, 0)",0.01
49,"(2, 0, 50)",-0.01
50,"(2, 1, 0)",0.01
51,"(2, 1, 50)",-0.01
52,"(2, 2, 0)",0.01
53,"(2, 2, 50)",-0.01
54,"(2, 3, 0)",0.01
55,"(2, 3, 50)",-0.01
56,"(2, 4, 0)",0.01
57,"(2, 4, 50)",-0.01
58,"(2, 5, 0)",0.01
59,"(2, 5, 50)",-0.01
60,"(2, 6, 0)",0.01
61,"(2, 6, 50)",-0.01
