X	Y	Bot2	
0.5	9.5	0.00E+00
1.5	9.5	1.00E+00
2.5	9.5	2.00E+00
3.5	9.5	3.00E+00
4.5	9.5	4.00E+00
5.5	9.5	5.00E+00
6.5	9.5	6.00E+00
7.5	9.5	7.00E+00
8.5	9.5	8.00E+00
9.5	9.5	9.00E+00
0.5	8.5	1.00E+01
1.5	8.5	1.10E+01
2.5	8.5	1.20E+01
3.5	8.5	1.30E+01
4.5	8.5	1.40E+01
5.5	8.5	1.50E+01
6.5	8.5	1.60E+01
7.5	8.5	1.70E+01
8.5	8.5	1.80E+01
9.5	8.5	1.90E+01
0.5	7.5	2.00E+01
1.5	7.5	2.10E+01
2.5	7.5	2.20E+01
3.5	7.5	2.30E+01
4.5	7.5	2.40E+01
5.5	7.5	2.50E+01
6.5	7.5	2.60E+01
7.5	7.5	2.70E+01
8.5	7.5	2.80E+01
9.5	7.5	2.90E+01
0.5	6.5	3.00E+01
1.5	6.5	3.10E+01
2.5	6.5	3.20E+01
3.5	6.5	3.30E+01
4.5	6.5	3.40E+01
5.5	6.5	3.50E+01
6.5	6.5	3.60E+01
7.5	6.5	3.70E+01
8.5	6.5	3.80E+01
9.5	6.5	3.90E+01
0.5	5.5	4.00E+01
1.5	5.5	4.10E+01
2.5	5.5	4.20E+01
3.5	5.5	4.30E+01
4.5	5.5	4.40E+01
5.5	5.5	4.50E+01
6.5	5.5	4.60E+01
7.5	5.5	4.70E+01
8.5	5.5	4.80E+01
9.5	5.5	4.90E+01
0.5	4.5	5.00E+01
1.5	4.5	5.10E+01
2.5	4.5	5.20E+01
3.5	4.5	5.30E+01
4.5	4.5	5.40E+01
5.5	4.5	5.50E+01
6.5	4.5	5.60E+01
7.5	4.5	5.70E+01
8.5	4.5	5.80E+01
9.5	4.5	5.90E+01
0.5	3.5	6.00E+01
1.5	3.5	6.10E+01
2.5	3.5	6.20E+01
3.5	3.5	6.30E+01
4.5	3.5	6.40E+01
5.5	3.5	6.50E+01
6.5	3.5	6.60E+01
7.5	3.5	6.70E+01
8.5	3.5	6.80E+01
9.5	3.5	6.90E+01
0.5	2.5	7.00E+01
1.5	2.5	7.10E+01
2.5	2.5	7.20E+01
3.5	2.5	7.30E+01
4.5	2.5	7.40E+01
5.5	2.5	7.50E+01
6.5	2.5	7.60E+01
7.5	2.5	7.70E+01
8.5	2.5	7.80E+01
9.5	2.5	7.90E+01
0.5	1.5	8.00E+01
1.5	1.5	8.10E+01
2.5	1.5	8.20E+01
3.5	1.5	8.30E+01
4.5	1.5	8.40E+01
5.5	1.5	8.50E+01
6.5	1.5	8.60E+01
7.5	1.5	8.70E+01
8.5	1.5	8.80E+01
9.5	1.5	8.90E+01
0.5	0.5	9.00E+01
1.5	0.5	9.10E+01
2.5	0.5	9.20E+01
3.5	0.5	9.30E+01
4.5	0.5	9.40E+01
5.5	0.5	9.50E+01
6.5	0.5	9.60E+01
7.5	0.5	9.70E+01
8.5	0.5	9.80E+01
9.5	0.5	9.90E+01
