time,elapsed_seconds,message
14:23:24,0.0001062,PEST++ performance logger started
14:23:24,0.000915,starting to process control file
14:23:24,0.0225132,finished processing control file
14:23:24,0.0195806,initializing
14:23:24,0.0003289,using glm algorithm
14:23:24,0.0001102,using REDSVD for truncated svd solve
14:23:24,0.0001105,maxsing: 10000000
14:23:24,0.0001165,eigthresh:  1e-06
14:23:24,0.0001047,initializing localizer
14:23:24,0.0001098,not using localization
14:23:24,0.0001103,using lambda multipliers: 
14:23:24,0.0001132,using lambda scaling factors: 
14:23:24,0.0001064,acceptable phi factor:  1.05
14:23:24,0.0001046,lambda increase factor:  10
14:23:24,0.0001063,lambda decrease factor:  0.75
14:23:24,0.0003196,max run fail:  1
14:23:24,0.0001102,initializing prior parameter covariance matrix
14:23:24,1.13e-05,initializing parcov
14:23:24,0.0011818,parcov loaded  from parameter bounds, using par_sigma_range 4
14:23:24,0.001849,initializing observation noise covariance matrix
14:23:24,0.0004805,obscov loaded  from observation weights
14:23:24,0.0006419,using reg_factor:  0
14:23:24,0.000107,drawing parameter realizations:  100
14:23:24,0.0018548,parameters not grouped by parameter groups, reordering par ensemble
14:23:24,0.0024343,making standard normal draws
14:23:24,0.0024674,scaling by std
14:23:24,6.02e-05,checking realization for invalid values
14:23:24,0.0004854,resizing reals matrix
14:23:24,0.0002638,filling reals matrix and adding mean values
14:23:24,0.0043442,not using prior parameter covariance matrix scaling
14:23:24,0.0001883,drawing observation noise realizations:  100
14:23:24,0.0011894,making standard normal draws
14:23:24,0.0010158,scaling by std
14:23:24,3.09e-05,checking realization for invalid values
14:23:24,0.0002392,resizing reals matrix
14:23:24,0.0001052,filling reals matrix and adding mean values
14:23:24,0.0015305,setting weights ensemble from control file weights
14:23:24,0.0889589,saved weight ensemble to  freyberg_prior.weights.csv
14:23:24,2.56e-05,checking for denormal values in weights ensemble
14:23:24,0.0002693,adding 'base' parameter values to ensemble
14:23:24,0.0017688,adding 'base' observation values to ensemble
14:23:24,0.0002759,adding 'base' weight values to weight ensemble
14:23:24,0.0002985,checking for denormal values in pe
14:23:24,0.124854,saved initial parameter ensemble to  freyberg_prior.0.par.csv
14:23:24,3.77e-05,checking for denormal values in obs + noise ensemble
14:23:24,0.0874091,saved obs+noise observation ensemble (obsval + noise realizations) to  freyberg_prior.obs+noise.csv
14:23:24,0.0001278,using subset in lambda testing, number of realizations used in subset testing:  4
14:23:24,9.43e-05,subset how:  RANDOM
14:23:24,0.0016675,centering on ensemble mean vector
14:23:24,2.04e-05,running initial ensemble
14:23:24,9.27e-05,running initial ensemble of size 100
14:23:24,2.13e-05,queuing 100 runs
14:23:24,0.0395359,making runs
14:24:23,59.4625,processing runs
14:24:24,0.12045,saved initial obs ensemble to freyberg_prior.0.obs.csv
14:24:24,0.0256415,calc pre-drop phi
14:24:24,0.0044008,pre-drop initial phi summary
14:24:24,0.0062584,checking for prior-data conflict...
14:24:24,0.0018565,WARNING: 9 non-zero weighted observations are in conflict with the prior simulated ensemble.

14:24:24,0.0004323,  WARNING: Prior-data conflict detected.  Continuing with IES parameter
           adjustment will likely result in parameter and forecast bias.
           Consider using 'ies_drop_conflicts' as a quick fix.
14:24:24,0.0909774,saved adjusted weight ensemble to  freyberg_prior.adjusted.weights.csv
14:24:24,2.21e-05,calc initial phi
14:24:24,0.0029044,initial phi summary
14:24:24,0.0062738,current lambda: 1
14:24:24,0.0001217,initialization complete
