time,elapsed_seconds,message
14:45:36,7.57e-05,PEST++ performance logger started
14:45:36,0.0010121,starting to process control file
14:45:36,0.0219108,finished processing control file
14:45:36,0.0188663,initializing
14:45:36,0.0003591,using glm algorithm
14:45:36,0.000107,using REDSVD for truncated svd solve
14:45:36,0.0001138,maxsing: 10000000
14:45:36,0.0001204,eigthresh:  1e-06
14:45:36,0.0001033,initializing localizer
14:45:36,0.0001204,not using localization
14:45:36,0.0001115,using lambda multipliers: 
14:45:36,0.0001172,using lambda scaling factors: 
14:45:36,0.0001061,acceptable phi factor:  1.05
14:45:36,0.0001043,lambda increase factor:  10
14:45:36,0.0001029,lambda decrease factor:  0.75
14:45:36,0.0002291,max run fail:  1
14:45:36,0.0001448,initializing prior parameter covariance matrix
14:45:36,1.18e-05,initializing parcov
14:45:36,0.0011446,parcov loaded  from parameter bounds, using par_sigma_range 4
14:45:36,0.0017966,initializing observation noise covariance matrix
14:45:36,0.0004658,obscov loaded  from observation weights
14:45:36,0.000616,using reg_factor:  0
14:45:36,9.75e-05,drawing parameter realizations:  100
14:45:36,0.0017212,parameters not grouped by parameter groups, reordering par ensemble
14:45:36,0.0022039,making standard normal draws
14:45:36,0.0023984,scaling by std
14:45:36,6.81e-05,checking realization for invalid values
14:45:36,0.0005708,resizing reals matrix
14:45:36,0.0002162,filling reals matrix and adding mean values
14:45:36,0.0039052,not using prior parameter covariance matrix scaling
14:45:36,0.0001128,drawing observation noise realizations:  100
14:45:36,0.0011307,making standard normal draws
14:45:36,0.0009754,scaling by std
14:45:36,2.73e-05,checking realization for invalid values
14:45:36,0.0002297,resizing reals matrix
14:45:36,9.76e-05,filling reals matrix and adding mean values
14:45:36,0.0012827,setting weights ensemble from control file weights
14:45:36,0.0855416,saved weight ensemble to  freyberg_prior.weights.csv
14:45:36,2.15e-05,checking for denormal values in weights ensemble
14:45:36,0.0002121,adding 'base' parameter values to ensemble
14:45:36,0.0016592,adding 'base' observation values to ensemble
14:45:36,0.0003649,adding 'base' weight values to weight ensemble
14:45:36,0.0002631,checking for denormal values in pe
14:45:36,0.122023,saved initial parameter ensemble to  freyberg_prior.0.par.csv
14:45:36,2.2e-05,checking for denormal values in obs + noise ensemble
14:45:36,0.0849042,saved obs+noise observation ensemble (obsval + noise realizations) to  freyberg_prior.obs+noise.csv
14:45:36,0.0001527,using subset in lambda testing, number of realizations used in subset testing:  4
14:45:36,9.59e-05,subset how:  RANDOM
14:45:36,0.0017116,centering on ensemble mean vector
14:45:36,1.95e-05,running initial ensemble
14:45:36,9.21e-05,running initial ensemble of size 100
14:45:36,2.97e-05,queuing 100 runs
14:45:36,0.0385026,making runs
14:46:31,54.8823,processing runs
14:46:31,0.119556,saved initial obs ensemble to freyberg_prior.0.obs.csv
14:46:31,0.023681,calc pre-drop phi
14:46:31,0.003859,pre-drop initial phi summary
14:46:31,0.0072056,checking for prior-data conflict...
14:46:31,0.0021868,calc initial phi
14:46:31,0.0025338,initial phi summary
14:46:31,0.006499,current lambda: 0.1
14:46:31,0.0001204,initialization complete
