,0,1,2,3,4
0,0,0,9,rch_3,0.5
1,0,1,8,rch_3,0.5
2,0,1,9,rch_3,1.0
3,0,2,7,rch_3,0.5
4,0,2,8,rch_3,1.0
5,0,2,9,rch_3,1.0
6,0,3,6,rch_3,0.5
7,0,3,7,rch_3,1.0
8,0,3,8,rch_3,1.0
9,0,3,9,rch_3,1.0
10,0,4,6,rch_3,1.0
11,0,4,7,rch_3,1.0
12,0,4,8,rch_3,1.0
13,0,4,9,rch_3,1.0
14,0,5,6,rch_3,1.0
15,0,5,7,rch_3,1.0
16,0,5,8,rch_3,1.0
17,0,5,9,rch_3,1.0
18,0,6,6,rch_3,1.0
19,0,6,7,rch_3,1.0
20,0,6,8,rch_3,1.0
21,0,6,9,rch_3,1.0
22,0,7,6,rch_3,1.0
23,0,7,7,rch_3,1.0
24,0,7,8,rch_3,1.0
25,0,7,9,rch_3,1.0
26,0,8,6,rch_3,1.0
27,0,8,7,rch_3,1.0
28,0,8,8,rch_3,1.0
29,0,8,9,rch_3,1.0
30,0,9,6,rch_3,1.0
31,0,9,7,rch_3,1.0
32,0,9,8,rch_3,1.0
33,0,9,9,rch_3,1.0
34,0,10,6,rch_3,1.0
35,0,10,7,rch_3,1.0
36,0,10,8,rch_3,1.0
37,0,10,9,rch_3,1.0
38,0,11,6,rch_3,1.0
39,0,11,7,rch_3,1.0
40,0,11,8,rch_3,1.0
41,0,11,9,rch_3,1.0
42,0,12,6,rch_3,1.0
43,0,12,7,rch_3,1.0
44,0,12,8,rch_3,1.0
45,0,12,9,rch_3,1.0
46,0,13,6,rch_3,1.0
47,0,13,7,rch_3,1.0
48,0,13,8,rch_3,1.0
49,0,13,9,rch_3,1.0
50,0,14,6,rch_3,1.0
51,0,14,7,rch_3,1.0
52,0,14,8,rch_3,1.0
53,0,14,9,rch_3,1.0
