,rivlay,rivrow,rivcol,rivstg,rivcnd,rivrbt,rivbnd
0,0,2,0,river_stage_1,1001,35.9,
1,0,3,1,river_stage_1,1002,35.8,
2,0,4,2,river_stage_1,1003,35.699999999999996,
3,0,4,3,river_stage_1,1004,35.6,
4,0,5,4,river_stage_1,1005,35.5,
5,0,5,5,river_stage_1,1006,35.4,riv1_c6
6,0,5,6,river_stage_1,1007,35.3,riv1_c7
7,0,4,7,river_stage_1,1008,35.2,
8,0,4,8,river_stage_1,1009,35.1,
9,0,4,9,river_stage_1,1010,35.0,
10,0,9,0,river_stage_2,1001,36.9,riv2_upper
11,0,8,1,river_stage_2,1002,36.8,riv2_upper
12,0,7,2,river_stage_2,1003,36.699999999999996,riv2_upper
13,0,6,3,river_stage_2,1004,36.6,
14,0,6,4,river_stage_2,1005,36.5,
15,0,5,5,river_stage_2,1006,36.4,riv2_c6
16,0,5,6,river_stage_2,1007,36.3,riv2_c7
17,0,6,7,river_stage_2,1008,36.2,
18,0,6,8,river_stage_2,1009,36.1,
19,0,6,9,river_stage_2,1010,36.0,
