,0,1,2,3,4,5
0,1,0,9,tides,15.0,ESTUARY-L2
1,1,1,9,tides,15.0,ESTUARY-L2
2,1,2,9,tides,15.0,ESTUARY-L2
3,1,3,9,tides,15.0,ESTUARY-L2
4,1,4,9,tides,15.0,ESTUARY-L2
5,1,5,9,tides,15.0,ESTUARY-L2
6,1,6,9,tides,15.0,ESTUARY-L2
7,1,7,9,tides,15.0,ESTUARY-L2
8,1,8,9,tides,15.0,ESTUARY-L2
9,1,9,9,tides,15.0,ESTUARY-L2
10,1,10,9,tides,15.0,ESTUARY-L2
11,1,11,9,tides,15.0,ESTUARY-L2
12,1,12,9,tides,15.0,ESTUARY-L2
13,1,13,9,tides,15.0,ESTUARY-L2
14,1,14,9,tides,15.0,ESTUARY-L2
15,2,0,9,tides,1500.0,ESTUARY-L3
16,2,1,9,tides,1500.0,ESTUARY-L3
17,2,2,9,tides,1500.0,ESTUARY-L3
18,2,3,9,tides,1500.0,ESTUARY-L3
19,2,4,9,tides,1500.0,ESTUARY-L3
20,2,5,9,tides,1500.0,ESTUARY-L3
21,2,6,9,tides,1500.0,ESTUARY-L3
22,2,7,9,tides,1500.0,ESTUARY-L3
23,2,8,9,tides,1500.0,ESTUARY-L3
24,2,9,9,tides,1500.0,ESTUARY-L3
25,2,10,9,tides,1500.0,ESTUARY-L3
26,2,11,9,tides,1500.0,ESTUARY-L3
27,2,12,9,tides,1500.0,ESTUARY-L3
28,2,13,9,tides,1500.0,ESTUARY-L3
29,2,14,9,tides,1500.0,ESTUARY-L3
