parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,idx0,inst,j,pname,pstyle,ptype,usecol,x,y,zone
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:3_j:3_zone:1,log,factor,0.8058882444889998,0.2,5.0,npfklayer1pp,1.0,0.0,1,3,,0,3,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:3_j:9_zone:1,log,factor,0.8719133210328267,0.2,5.0,npfklayer1pp,1.0,0.0,1,3,,0,9,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:3_j:15_zone:1,log,factor,0.804538853320154,0.2,5.0,npfklayer1pp,1.0,0.0,1,3,,0,15,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:9_j:3_zone:1,log,factor,1.2119995879889816,0.2,5.0,npfklayer1pp,1.0,0.0,1,9,,0,3,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:9_j:9_zone:1,log,factor,0.8437668496537049,0.2,5.0,npfklayer1pp,1.0,0.0,1,9,,0,9,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:9_j:15_zone:1,log,factor,0.7742362790275563,0.2,5.0,npfklayer1pp,1.0,0.0,1,9,,0,15,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:3_zone:1,log,factor,0.9986652246205444,0.2,5.0,npfklayer1pp,1.0,0.0,1,15,,0,3,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:9_zone:1,log,factor,0.794139091612818,0.2,5.0,npfklayer1pp,1.0,0.0,1,15,,0,9,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,log,factor,0.8073546279126534,0.2,5.0,npfklayer1pp,1.0,0.0,1,15,,0,15,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:21_j:3_zone:1,log,factor,0.7980357365959178,0.2,5.0,npfklayer1pp,1.0,0.0,1,21,,0,3,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:21_j:9_zone:1,log,factor,0.7401444518801659,0.2,5.0,npfklayer1pp,1.0,0.0,1,21,,0,9,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:21_j:15_zone:1,log,factor,0.9139950161208412,0.2,5.0,npfklayer1pp,1.0,0.0,1,21,,0,15,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:3_zone:1,log,factor,0.5691472396811388,0.2,5.0,npfklayer1pp,1.0,0.0,1,27,,0,3,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:9_zone:1,log,factor,0.5665839328658896,0.2,5.0,npfklayer1pp,1.0,0.0,1,27,,0,9,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:15_zone:1,log,factor,0.7468260985472265,0.2,5.0,npfklayer1pp,1.0,0.0,1,27,,0,15,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:33_j:3_zone:1,log,factor,0.5154573031391967,0.2,5.0,npfklayer1pp,1.0,0.0,1,33,,0,3,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:33_j:9_zone:1,log,factor,0.5786011361530792,0.2,5.0,npfklayer1pp,1.0,0.0,1,33,,0,9,npfklayer1pp,m,pp,,,,1
pname:npfklayer1pp_inst:0_ptype:pp_pstyle:m_i:33_j:15_zone:1,log,factor,0.7247619551048027,0.2,5.0,npfklayer1pp,1.0,0.0,1,33,,0,15,npfklayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:2_zone:1,log,factor,3.205218324178345,0.001,5.0,stosslayer1pp,1.0,0.0,1,2,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:7_zone:1,log,factor,3.127693015221051,0.001,5.0,stosslayer1pp,1.0,0.0,1,2,,0,7,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:12_zone:1,log,factor,1.726361310566028,0.001,5.0,stosslayer1pp,1.0,0.0,1,2,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:2_j:17_zone:1,log,factor,1.7312169925303724,0.001,5.0,stosslayer1pp,1.0,0.0,1,2,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:2_zone:1,log,factor,4.4577619277903375,0.001,5.0,stosslayer1pp,1.0,0.0,1,7,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:7_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,7,,0,7,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,7,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:7_j:17_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,7,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:2_zone:1,log,factor,2.596863800360672,0.001,5.0,stosslayer1pp,1.0,0.0,1,12,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,12,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:12_j:17_zone:1,log,factor,3.9202714995449814,0.001,5.0,stosslayer1pp,1.0,0.0,1,12,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:2_zone:1,log,factor,2.583291706619371,0.001,5.0,stosslayer1pp,1.0,0.0,1,17,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,17,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:17_j:17_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,17,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:2_zone:1,log,factor,2.317314216846625,0.001,5.0,stosslayer1pp,1.0,0.0,1,22,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:7_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,22,,0,7,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,22,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:22_j:17_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,22,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:2_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,27,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:7_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,27,,0,7,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,27,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:27_j:17_zone:1,log,factor,4.575256926712634,0.001,5.0,stosslayer1pp,1.0,0.0,1,27,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:32_j:2_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,32,,0,2,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:32_j:7_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,32,,0,7,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:32_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,32,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:32_j:17_zone:1,log,factor,3.842580259585547,0.001,5.0,stosslayer1pp,1.0,0.0,1,32,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:37_j:7_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,37,,0,7,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:37_j:12_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,37,,0,12,stosslayer1pp,m,pp,,,,1
pname:stosslayer1pp_inst:0_ptype:pp_pstyle:m_i:37_j:17_zone:1,log,factor,5.0,0.001,5.0,stosslayer1pp,1.0,0.0,1,37,,0,17,stosslayer1pp,m,pp,,,,1
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:5_zone:1,log,factor,1.488745880347352,0.4,5.0,stosylayer1pp,1.0,0.0,1,5,,0,5,stosylayer1pp,m,pp,,,,1
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:5_j:15_zone:1,log,factor,1.0520460578293642,0.4,5.0,stosylayer1pp,1.0,0.0,1,5,,0,15,stosylayer1pp,m,pp,,,,1
pname:stosylayer1pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,log,factor,1.351925501946589,0.4,5.0,stosylayer1pp,1.0,0.0,1,15,,0,15,stosylayer1pp,m,pp,,,,1
