,0,1,2,3,4,5,6,7,8,9,10,11
0,0,"(0, 0, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_01_06
1,1,"(1, 0, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_01_06
2,2,"(2, 0, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_01_06
3,3,"(3, 0, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_01_06
4,4,"(0, 0, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_01_07
5,5,"(1, 0, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_01_07
6,6,"(2, 0, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_01_07
7,7,"(3, 0, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_01_07
8,8,"(0, 0, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_01_08
9,9,"(1, 0, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_01_08
10,10,"(2, 0, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_01_08
11,11,"(3, 0, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_01_08
12,12,"(0, 0, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_01_09
13,13,"(1, 0, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_01_09
14,14,"(2, 0, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_01_09
15,15,"(3, 0, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_01_09
16,16,"(0, 0, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_01_10
17,17,"(1, 0, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_01_10
18,18,"(2, 0, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_01_10
19,19,"(3, 0, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_01_10
20,20,"(0, 1, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_05
21,21,"(1, 1, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_05
22,22,"(2, 1, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_05
23,23,"(3, 1, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_05
24,24,"(0, 1, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_06
25,25,"(1, 1, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_06
26,26,"(2, 1, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_06
27,27,"(3, 1, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_06
28,28,"(0, 1, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_07
29,29,"(1, 1, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_07
30,30,"(2, 1, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_07
31,31,"(3, 1, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_07
32,32,"(0, 1, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_08
33,33,"(1, 1, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_08
34,34,"(2, 1, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_08
35,35,"(3, 1, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_08
36,36,"(0, 1, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_09
37,37,"(1, 1, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_09
38,38,"(2, 1, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_09
39,39,"(3, 1, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_09
40,40,"(0, 1, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_10
41,41,"(1, 1, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_10
42,42,"(2, 1, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_10
43,43,"(3, 1, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_10
44,44,"(0, 1, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_11
45,45,"(1, 1, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_11
46,46,"(2, 1, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_11
47,47,"(3, 1, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_11
48,48,"(0, 1, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_12
49,49,"(1, 1, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_12
50,50,"(2, 1, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_12
51,51,"(3, 1, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_12
52,52,"(0, 2, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_04
53,53,"(1, 2, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_04
54,54,"(2, 2, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_04
55,55,"(3, 2, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_04
56,56,"(0, 2, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_05
57,57,"(1, 2, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_05
58,58,"(2, 2, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_05
59,59,"(3, 2, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_05
60,60,"(0, 2, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_06
61,61,"(1, 2, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_06
62,62,"(2, 2, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_06
63,63,"(3, 2, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_06
64,64,"(0, 2, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_07
65,65,"(1, 2, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_07
66,66,"(2, 2, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_07
