,Unnamed: 0,org_file,model_file,use_cols,index_cols,fmt,sep,head_rows,upper_bound,lower_bound,operator,mlt_file,zone_file,apply_order,fac_file,pp_file,pp_fill_value,pp_lower_limit,pp_upper_limit,chkpar,zero_based
0,0,org\freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%17.1F,,0,100,0.01,m,mult\npfklayer1gr_inst0_grid.csv,npfklayer1gr_inst0_grid.csv.zone,999,,,,,,,False
1,1,org\freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%17.1F,,0,100,0.01,m,mult\npfklayer1pp_inst0_pilotpoints.csv,npfklayer1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,npfklayer1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
2,2,org\freyberg6.npf_k_layer1.txt,freyberg6.npf_k_layer1.txt,,,%17.1F,,0,100,0.01,m,mult\npfklayer1cn_inst0_constant.csv,npfklayer1cn_inst0_constant.csv.zone,999,,,,,,,False
3,3,org\freyberg6.sto_sy_layer1.txt,freyberg6.sto_sy_layer1.txt,,,%24.18E,,0,0.4,0.01,m,mult\stosylayer1gr_inst0_grid.csv,stosylayer1gr_inst0_grid.csv.zone,999,,,,,,,False
4,4,org\freyberg6.sto_sy_layer1.txt,freyberg6.sto_sy_layer1.txt,,,%24.18E,,0,0.4,0.01,m,mult\stosylayer1pp_inst0_pilotpoints.csv,stosylayer1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,stosylayer1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
5,5,org\freyberg6.sto_sy_layer1.txt,freyberg6.sto_sy_layer1.txt,,,%24.18E,,0,0.4,0.01,m,mult\stosylayer1cn_inst0_constant.csv,stosylayer1cn_inst0_constant.csv.zone,999,,,,,,,False
6,6,org\freyberg_mp.ne_layer1.txt,freyberg_mp.ne_layer1.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer1gr_inst0_grid.csv,nelayer1gr_inst0_grid.csv.zone,999,,,,,,,False
7,7,org\freyberg_mp.ne_layer1.txt,freyberg_mp.ne_layer1.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer1pp_inst0_pilotpoints.csv,nelayer1pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,nelayer1pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
8,8,org\freyberg_mp.ne_layer1.txt,freyberg_mp.ne_layer1.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer1cn_inst0_constant.csv,nelayer1cn_inst0_constant.csv.zone,999,,,,,,,False
9,9,org\freyberg_mp.ne_layer2.txt,freyberg_mp.ne_layer2.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer2gr_inst0_grid.csv,nelayer2gr_inst0_grid.csv.zone,999,,,,,,,False
10,10,org\freyberg_mp.ne_layer2.txt,freyberg_mp.ne_layer2.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer2pp_inst0_pilotpoints.csv,nelayer2pp_inst0pp.dat.zone,999,npfklayer1pp_inst0pp.fac,nelayer2pp_inst0pp.dat,1.0,9.999999999999999e-31,1e+30,,False
11,11,org\freyberg_mp.ne_layer2.txt,freyberg_mp.ne_layer2.txt,,, %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E %14.6E,,0,0.4,0.01,m,mult\nelayer2cn_inst0_constant.csv,nelayer2cn_inst0_constant.csv.zone,999,,,,,,,False
