obsnme,obsval,weight,obgnme,i,j,oname,otype,time,totim,usecol,observed,standard_deviation
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3652.5,35.870908932,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3652.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3683.5,35.7911498085,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3683.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3712.5,35.784015431,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3712.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3743.5,35.8183471275,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3743.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3773.5,35.884582202000004,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3773.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3804.5,35.9380388005,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3804.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3834.5,35.951151413000005,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3834.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3865.5,35.924169314,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3865.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3896.5,35.8580595215,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3896.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3926.5,35.6761705425,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3926.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3957.5,35.472621336,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3957.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3987.5,35.3104096445,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3987.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4018.5,35.22607032,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4018.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4049.5,35.259558794499995,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4049.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4077.5,35.3455858085,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4077.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4108.5,35.472703003,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4108.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4138.5,35.5918927285,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4138.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4169.5,35.7097883965,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4169.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4199.5,35.7826880575,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4199.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4230.5,35.797269228,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4230.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4261.5,35.694327286,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4261.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4291.5,35.4934106545,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4291.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4322.5,35.269773904,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4322.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4352.5,35.0981179425,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4352.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4383.5,34.97880422454545,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4383.5,,trgw-0-13-10,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3652.5,35.225406085,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3652.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3683.5,35.159653584,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3683.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3712.5,35.1475575085,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3712.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3743.5,35.1885807845,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3743.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3773.5,35.2585539965,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3773.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3804.5,35.314223316,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3804.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3834.5,35.3106965575,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3834.5,,trgw-0-15-16,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3865.5,35.2531969275,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3865.5,,trgw-0-15-16,,
